sample	file	group	replicate	sex	devstage	sname
liver_37	ERR2598262	liver	37	male	9wpc	2072sTSm.Human.Liver.9w.Male	
liver_38	ERR2598275	liver	38	male	adolescent	5575sTS.Human.Liver.17ypb.Male	
liver_39	ERR2598284	liver	39	male	elderly	5512sTS.Human.Liver.58ypb.Male	
liver_40	ERR2598285	liver	40	male	elderly	5571sTS.Human.Liver.58ypb.Male	
liver_41	ERR2598300	liver	41	male	infant	5528sTS.Human.Liver.221dpb.Male	
liver_42	ERR2598301	liver	42	male	infant	5552sTS.Human.Liver.271dpb.Male	
liver_43	ERR2598310	liver	43	male	middle.adult	6106sTS.Human.Liver.55ypb.Male	
liver_44	ERR2598326	liver	44	female	neonate	5544sTS.Human.Liver.15dpb.Female	
liver_45	ERR2598327	liver	45	male	neonate	5548sTS.Human.Liver.15dpb.Male	
liver_46	ERR2598334	liver	46	male	school.age.child	5513sTS.Human.Liver.7ypb.Male	
liver_47	ERR2598344	liver	47	female	toddler	5556sTS.Human.Liver.2ypb.Female	
liver_48	ERR2598357	liver	48	male	young.adult	5536sTS.Human.Liver.29ypb.Male	
liver_49	ERR2598358	liver	49	male	young.adult	5551sTS.Human.Liver.39ypb.Male	
liver_50	ERR2598359	liver	50	male	young.adult	5563sTS.Human.Liver.39ypb.Male	
ovary_1	ERR2598065	ovary	1	female	10wpc	2095sTS.Human.Ovary.10w.Female	
ovary_2	ERR2598066	ovary	2	female	10wpc	5677sTS.Human.Ovary.10w.Female	
ovary_3	ERR2598086	ovary	3	female	11wpc	3644sTS.Human.Ovary.11w.Female	
ovary_4	ERR2598098	ovary	4	female	12wpc	3774sTS.Human.Ovary.12w.Female	
ovary_5	ERR2598099	ovary	5	female	12wpc	5936sTS.Human.Ovary.12w.Female	
ovary_6	ERR2598116	ovary	6	female	13wpc	5944sTS.Human.Ovary.13w.Female	
ovary_7	ERR2598133	ovary	7	female	16wpc	5673sTS.Human.Ovary.16w.Female	
ovary_8	ERR2598145	ovary	8	female	18wpc	5674sTS.Human.Ovary.18w.Female	
ovary_9	ERR2598146	ovary	9	female	18wpc	5949sTS.Human.Ovary.18w.Female	
ovary_10	ERR2598177	ovary	10	female	4wpc	5623sTS.Human.Ovary.4w.Female	
ovary_11	ERR2598178	ovary	11	female	4wpc	5914sTS.Human.Ovary.4w.Female	
ovary_12	ERR2598190	ovary	12	female	5wpc	5638sTS.Human.Ovary.5w.Female	
ovary_13	ERR2598203	ovary	13	female	6wpc	5639sTS.Human.Ovary.6w.Female	
ovary_14	ERR2598221	ovary	14	female	7wpc	3575sTS.Human.Ovary.CS20.Female	
ovary_15	ERR2598222	ovary	15	female	7wpc	5920sTS.Human.Ovary.7w.Female	
ovary_16	ERR2598245	ovary	16	female	8wpc	2018sTSm.Human.Ovary.CS22.Female	
ovary_17	ERR2598246	ovary	17	female	8wpc	2083sTSm.Human.Ovary.CS23.Female	
ovary_18	ERR2598263	ovary	18	female	9wpc	2052sTSm.Human.Ovary.9w.Female	
testis_1	ERR2598067	testis	1	male	10wpc	1988sTS.Human.Testis.10w.Male	
testis_2	ERR2598068	testis	2	male	10wpc	3655sTS.Human.Testis.10w.Male	
testis_3	ERR2598087	testis	3	male	11wpc	2110sTS.Human.Testis.11w.Male	
testis_4	ERR2598088	testis	4	male	11wpc	5934sTS.Human.Testis.11w.Male	
testis_5	ERR2598100	testis	5	male	12wpc	3775sTS.Human.Testis.12w.Male	
testis_6	ERR2598101	testis	6	male	12wpc	5935sTS.Human.Testis.12w.Male	
testis_7	ERR2598117	testis	7	male	13wpc	5716sTS.Human.Testis.13w.Male	
testis_8	ERR2598119	testis	8	male	13wpc	5940sTS.Human.Testis.13w.Male	
testis_9	ERR2598118	testis	9	male	13wpc	5937sTS.Human.Testis.13w.Male	
testis_10	ERR2598135	testis	10	male	16wpc	5694sTS.Human.Testis.16w.Male	
testis_11	ERR2598134	testis	11	male	16wpc	5652sTS.Human.Testis.16w.Male	
testis_12	ERR2598136	testis	12	male	16wpc	5946sTS.Human.Testis.16w.Male	
testis_13	ERR2598147	testis	13	male	18wpc	5653sTS.Human.Testis.18w.Male	
testis_14	ERR2598163	testis	14	male	19wpc	5778sTS.Human.Testis.19w.Male	
testis_15	ERR2598179	testis	15	male	4wpc	3590sTS.Human.Testis.CS13.Male	
testis_16	ERR2598191	testis	16	male	5wpc	5916sTS.Human.Testis.5w.Male	
testis_17	ERR2598192	testis	17	male	5wpc	5958sTS.Human.Testis.5w.Male	
